Unnamed: 0,id,user_name,post_message,num_like_post,num_comment_post,num_share_post,label,user_name_labelEncoder,user_name_freq
3943,3944,e25c6495bd1905c25887613158b21b68,"Sáng 2/3 , Bộ Y_tế phát đi thông_báo khẩn số 8 về lịch_sử di_chuyển của các ca bệnh mắc Covid-19 , trong đó có một_số địa_điểm ăn_uống , vui_chơi tại Hà_Nội và TPHCM . # LaChanVirusCorona",510,22,94.0,0,782,1
1875,1876,e48f3f0141396f221a57a4b09bbe99ef,[ C ] ( < URL > ) á lại chết ở công Viên Yên_Sở . Đáng nói là giòi bọ lúc_nhúc mà chưa thấy đơn_vị nào trục_vớt,11,0,0.0,0,3320,1
4006,4007,37029e07e59811fc29f5c6954edb4dfe,"Có cái vụ gạo này , mà các ông làm Thủ_tướng bận_tâm quá . [ < URL > ] ( < URL > )",14,0,0.0,0,1007,6
4348,4349,70a149e433119b48d47be21d7952e692,"Với hơn 700.000 dân , nhưng có tới 62 dự_án đang phát_triển cùng hàng chục dự_án đã phát_triển trước đó , thị_trường Hậu_Giang đang bội_thực dự_án .",2,0,0.0,0,1808,42
339,340,4c48fd7b5afb6d15b87b68f421d51877,"THỦ_PHẠM GÂY RA BỆNH VIÊM PHỔI CẤP TẠI TQ EM THỀ NHÌN KINH VL MÀ MẤY ANH TÀU CŨNG ĂN ĐƯỢC . ANH_EM NÀO TIÊU_HOÁ HỘ CON DƠI ĐẦU CHÓ DÙM EM : ( ( NGHĨ ĐẾN CẢNH BÓC ĐẦU VS GẶM THỊT CON DƠI THÌ EM MẮC ÓI QUÁ . Nguyên_nhân dẫn đến việc lây_lan virus corona dẫn đến chứng viêm phổi cấp tại TQ là bởi thú ăn động_vật hoang_dã của người_dân Vũ_Hán . Trong đó đặc_biệt là món súp dơi nguyên con vốn được coi là đặc_sản giàu dinh dưỡn ... g . Để nấu món súp dơi nguyên con , ngoài nguyên_liệu_chính là dơi thì người ta còn cần đến một_ít rau củ và gia_vị . Dơi được sơ_chế khá sơ_sài khi người ta chỉ có cắt_tiết rửa sạch ở bên ngoài con vật chứ không hề có công_đoạn làm_lông hay mổ nội_tạng . Điều này có nghĩa rằng thực_khách sẽ được phục_vụ nguyên_vẹn một con dơi 100% bao_gồm cả lông , cánh , mắt , chân , nội_tạng ... không bỏ đi bộ_phận nào hết . Khi bắt_đầu chế_biến , người ta sẽ cho dơi vào nồi nước và đem hầm chín , sau đó thêm chút rau củ phụ_gia rồi hầm đến khi mềm là dọn ra cho thực_khách thưởng_thức . Ngoài súp dơi nguyên con , người ta còn chế_biến dơi thành nhiều món ăn khác như nướng xào hay thậm_chí kinh_dị hơn là ăn sống . Nhiều người cho rằng hương_vị món súp dơi này rất giống với món súp gà , máu dơi có khả_năng chữa các bệnh về hô_hấp , mắt dơi giúp làm sáng_mắt và hơn_nữa món ăn này được xem là “ thần_dược ” để cải_thiện khả_năng trong chuyện chăn_gối . Vì_vậy phần_lớn người ưa_chuộng và thường_xuyên sử_dụng là nam_giới . Mặc_dù được cho là món ăn bổ_dưỡng nhưng người ta cho rằng việc sử_dụng súp dơi nguyên con với cách chế_biến chưa kỹ như không làm_lông , mổ bụng .. có_thể khiến con_người gặp các vấn_đề về sức_khoẻ , đặc_biệt là các bệnh về thần_kinh như Parkinson , Alzheimer và Lou_Gehrig . Nguyên_nhân là do thức_ăn của dơi là những loài thực_vật có khả_năng gây bệnh cho con_người , vi_khuẩn , cộng với cách chế_biến không kỹ_càng . Và bệnh_dịch viêm phổi cấp ngày_càng nghiêm_trọng tại TQ hiện_nay là câu trả_lời rõ_ràng nhất . Những bệnh_nhân viêm phổi cấp đầu_tiên chính là các nhân_viên tại chợ Hải_sản Hoa_Nam ( nơi chuyên cung_cấp thịt các động_vật hoang_dã tươi_sống như dơi , rắn , chuột , cầy_hương ... ) nằm ngay tại trung_tâm thành_phố Vũ_Há < URL > khi phát_hiện ổ bệnh , chợ này đã phải khử_trùng và đóng_cửa . Vi_rút corona mới được đặt tên là 2019 Novel_Coronavirus , viết tắt 2019 - nCoV . Tổ_chức Y_tế Thế_giới ( WHO ) và NHC đã xác_nhận 2019 - nCoV gây ra bệnh viêm phổi lạ là thuộc chủng corona vốn gây ra dịch Hội_chứng hô_hấp cấp_tính nặng ( SARS ) và Hội_chứng hô_hấp Trung_Đông ( MERS ) . Ông Cao_Phúc , giám_đốc Trung_tâm kiểm_soát và phòng_ngừa dịch_bệnh Trung_Quốc , ngày 22.1 cho biết 2019 - nCoV với khả_năng “ thích_nghi , đột_biến , lây_lan qua đường hô_hấp ” có_thể xuất_phát từ động_vật hoang_dã được bày_bán tại chợ Hoa_Nam . Tuy_nhiên , giới_chức và chuyên_gia y_tế chưa_thể kết_luận cụ_thể nguồn_gốc là con vật gì , theo ông Cao . Dơi được cho là đã sản_sinh ra vi_rút gây dịch_bệnh SARS trong năm 2 < PHONE > , cướp đi sinh_mạng của gần 650 người khắp Trung_Quốc đại_lục và Hồng_Kông . SARS được tìm thấy trong cầy_hương bày_bán tại các chợ động_vật hoang_dã ở Trung_Quốc . Nhiều nhà_khoa_học tin rằng vi_rút từ dơi đã lây_nhiễm cho cầy_hương và sau đó con_người đã ăn thịt chúng . P / S : Món súp dơi được coi là đặc_sản tại 1 số nước châu_Á , đặc_biệt ở Trung_Quốc , Cămpuchia và nước cộng_hoà Palau ( đảo_quốc tại Tây_Thái_Bình_Dương )",5800,6000,21000.0,1,351,1
1714,1715,689f2b4f47bdd137b00f77341b43357f,"Trước tình_hình dịch Covid-19 lây_lan toàn_cầu , Tổng_thống Brazil Jair_Bolsonaro cho rằng tác_động tiêu_cực của dịch Covid-19 đã bị phóng_đại quá mức . Phát_biểu trước khoảng 200 người ủng_hộ gốc Brazil trong chuyến thăm Miami , bang Florida , Mỹ hôm 9/3 , Tổng_thống Brazil Jair_Bolsonaro cho rằng , tác_động của đại_dịch Covid-19 đã bị phóng_đại quá mức . "" Theo tôi , sự tàn_phá của dịch Covid-19 đã bị cường_điệu_hoá . Có_lẽ thậm_chí còn có khả_năng bị phóng_đại quá mức vì lý_do chính_trị "" , ông Jair_Bolsonaro nói . Ông Bolsonaro đưa ra tuyên_bố trên trong bối_cảnh sàn giao_dịch chứng_khoán Sao Paulo giảm mạnh hơn 12% vào hôm 9/3 , mức thấp nhất kể từ năm 1998 . Ngoài_ra , cổ_phiếu của Tập_đoàn dầu_khí quốc_gia Brazil giảm hơn 31% , khi các nhà_đầu_tư thế_giới hoảng_sợ vì giá dầu lao dốc trước nguy_cơ lây_lan của Covid-19 . Tổng_thống Brazil Jair_Bolsonaro đang có chuyến thăm tới Florida để kêu_gọi các nhà_đầu_tư nước_ngoài đầu_tư vào nền kinh_tế lớn nhất của Nam_Mỹ . Hôm 8/3 , ông Bolsonaro có cuộc gặp Tổng_thống Mỹ Donald_Trump tại khu nghỉ_dưỡng Mar-a-Lago ở Palm_Beach , phía bắc Miami . Tại buổi gặp Tổng_thống Brazil , ông Trump nói "" hoàn_toàn không lo_lắng "" về dịch Covid-19 . Đồng_thời Tổng_thống Mỹ sẽ không huỷ_bỏ các cuộc vận_động tái tranh_cử , ngay cả khi nhiều sự_kiện công_cộng khác ở Mỹ bị huỷ nhằm phòng_dịch bệnh lây_lan .",13,0,0.0,0,1702,1
13,14,d41bdf366d7713f69ca4939adc379240,Cấm vô_thời_hạn tất_cả các chuyến bay từ Việt_Nam qua Hàn_Quốc vì dịch Corona tại Hàn bùng_phát .,12,17,0.0,1,3119,1
3524,3525,839efe8cf4f3df26142f5d03c94fe0e4,"Dự_án đường_sắt trên cao Cát_Linh - Hà_Đông do Bộ GTVT làm chủ đầu_tư , được xây_dựng bằng nguồn vốn tài_trợ từ chính_phủ Trung_Quốc theo Hiệp_định_khung ký ngày 30/5/2008 giữa Chính_phủ Việt_Nam và chính_phủ Trung_Quốc . Ðường sắt đô_thị Cát Linh-Hà Ðông dài 13,5 km . Tổng vốn đầu_tư ban_đầu hơn 552 triệu USD sau đó bị đội lên 891,9 triệu USD ( sử_dụng vốn vay ODA Trung_Quốc và đối_ứng của Việt_Nam , bằng hợp_đồng vay ký lần đầu năm 2008 , sau đó ký vay bổ_sung năm 2017 . Dự_án khởi_công tháng 10/2011 , ban_đầu dự_kiến dự_án hoàn_thành và đưa vào khai_thác thương_mại từ tháng 6/2015. Sau đó lùi tới tháng 6/2016 , rồi tháng 12/2016 , tháng 2/2017 , tháng 10/2017 , quý II / 2018 , cuối năm 2018 , tháng 4/2019. Tuy_nhiên , tới nay dự_án vẫn chưa hẹn ngày về đích , Bộ GTVT vẫn nói “ phấn_đấu ” hoàn_thành trong năm 2019 . Đến nay sau 11 năm phê_duyệt , 8 năm thi_công , dự_án đường_sắt trên cao Cát_Linh - Hà_Đông đã hoàn_thành tới 99% khối_lượng và chỉ còn 1% các hạng_mục phụ_trợ , nhưng vẫn chưa_thể cán đích và đã 8 lần lỡ hẹn từ chạy thử đến khai_thác thương_mại các đoàn tàu với người_dân Thủ_đô .",43,32,10.0,0,2093,1
2404,2405,ed3fad142e6ffdb243569bef084afdbe,"🔥 [ TIN NÓNG ] 🔥 BỘ GD-ĐT : Có_thể KHÔNG CẦN_THIẾT LÙI kỳ thi THPT quốc_gia năm 2020 ‼ ✍Đó là khẳng_định của ông Nguyễn_Hữu_Độ , thứ_trưởng Bộ GD-ĐT , trong cuộc trao_đổi với Tuổi_Trẻ chiều 11-2 . Theo ông Độ , hiện chỉ có tỉnh Vĩnh_Phúc là nơi công_bố dịch phải xem_xét việc học_sinh nghỉ thêm , những địa_phương khác cho tới nay không phát_sinh thêm bệnh_nhân nhiễm virus corona .... ✍Theo đánh_giá của Bộ GD-ĐT , hai tuần ngừng hoạt_động đủ cho các nhà_trường áp_dụng các biện_pháp phòng_ngừa tích_cực . Học_sinh có_thể trở_lại trường nhưng vẫn đề_cao cảnh_giác , thực_hiện các khuyến_cáo về phòng_dịch của tổ_chức y_tế . Ông Nguyễn_Hữu_Độ cũng khẳng_định thời_gian nghỉ hai tuần không ảnh_hưởng quá lớn đến tiến_độ dạy_học của các nhà_trường . Bộ GD-ĐT sẽ có văn_bản hướng_dẫn cụ_thể về việc thực_hiện dạy_học bù cho học_sinh , trong đó có lưu_ý đến các trường_hợp đặc_biệt như Vĩnh_Phúc . Riêng kỳ thi THPT quốc_gia , Bộ GD-ĐT sẽ cân_nhắc trên nguyên_tắc đảm_bảo quyền_lợi cho học_sinh , nhưng khả_năng lớn là không cần_thiết phải lùi thời_gian tổ_chức kỳ thi . 😷😷Đặc biệt lo_lắng cho 2k2 😞 Đã không có đề Minh_hoạ năm nay dịch_bệnh nghỉ nhiều lại không được lùi thời_gian thi . Các em cần hết_sức nghiêm_túc luyện đề ngay từ lúc này > > Bộ đề chuẩn và sát nhất với đề thi của Bộ hiện_tại trong PEN-BOOK : < URL > - Xem review : < URL > - - - - - - - - - - - - - - - - - - - - - - - Chúc 2k2 thi tốt , cần tư_vấn về kỳ thi và hồ_sơ các em đặt câu hỏi xuống dưới ad giải_đáp nhé Xem thêm",10000,1800,4100.0,0,2929,1
5090,718,-3487078356290515968,"2 hãng hàng_không của Mỹ là Delta_Airlines và United_Airlines đã yêu_cầu được nối lại các chuyến bay tới Trung_Quốc trong tháng 6 này nhưng không được Bắc_Kinh chấp_thuận , trong khi Mỹ vẫn cho_phép các máy_bay của Trung_Quốc tiếp_tục thực_hiện chuyến bay tới Mỹ trong thời_điểm dịch Covid-19 bùng_phát mạnh . Mỹ quyết_định đình_chỉ hết chuyến bay TQ luôn .",21,4,1.0,0,61,2
2666,2667,ab1d5aa937e3c15a8a3d41bc57d62db3,"Chung tay cùng đồng_bào vùng_cao phòng_chống dịch Nhằm sẻ chia khó_khăn tới nhân_dân và các chốt phòng_chống dịch biên_giới , những ngày qua , Tuổi_trẻ Công_an tỉnh Cao_Bằng phối_hợp với các đơn_vị đồng_hành tổ_chức thăm_hỏi , tặng nhiều suất quà tại xã biên_giới Phong_Nậm , huyện Trùng_Khánh . Ngày 8/5 , Tuổi_trẻ Công_an tỉnh Cao_Bằng phối_hợp với các đơn_vị đồng_hành tổ_chức thăm_hỏi , tặng 46 suất quà , mỗi suất gồm 10kg gạo , 1 thùng mì tôm , khẩu_trang , móc khoá đường_dây_nóng y_tế … , tới 46 hộ gia_đình khó_khăn bị ảnh_hưởng bởi dịch COVID-19 tại xã biên_giới Phong_Nậm , huyện Trùng_Khánh . Trong dịp này , Đoàn công_tác cũng tặng 500 khẩu_trang y_tế cho Công_an huyện Trùng_Khánh ; tặng 400 khẩu_trang vải kháng khuẩn cho các em học_sinh Trường Tiểu_học - THCS xã Phong_Nậm , huyện Trùng_Khánh ; tặng mì tôm , gạo , nhu_yếu_phẩm cho các chốt kiểm_dịch COVID-19 của lực_lượng Biên_phòng tại xã Phong_Nậm …",2,0,0.0,0,2628,1
3867,3868,112734128859f7a43f9e1b453c96e21c,"+ Mặc_dù số ca mắc mới tại Việt_Nam đã giảm nhưng một_số trường_hợp lại chưa xác_định được nguồn lây , những nguy_cơ nào có_thể xảy ra ? + Có_chăng “ lỗ_hổng ” trong phòng_chống dịch_bệnh Covid-19 từ thói_quen tự đi mua thuốc hạ sốt của đại_đa_số người_dân Việt_Nam ? + Với sự bất_ngờ mang tính huỷ_diệt , Covid-19 đã tạo ra một cuộc khủng_hoảng tồi_tệ nhất kể từ sau thế_chiến thứ 2 , đặc_biệt mới_đây , virus gây bệnh đáng sợ này đã lan ra tàu_sân_bay thứ 4 của Mỹ . + Và băn_khoăn của nhiều chuyên_gia lúc này là : Liệu rằng Đông_Nam_Á có_thể là cái tên tiếp_theo cho ổ dịch mới của Covid-19 hay không ? Cùng nhiều tin nóng trong Bản tin Toàn_cảnh phòng_chống dịch COVID-19 ngày 9/4/2020 của VTV 24 .",10603,50,1128.0,0,2062,1
2571,2572,42b1c4fb2bdc6c30b87ec84f361167fd,"Máy_Bay Về VIỆT_NAM Cất_Cánh 2 Tiếng , Gia_Đình Mới_Cấp_Báo_Con Nghi_Nhiễm Covid-19",3145,50,943.0,0,186,1
2241,2242,7bbcea468e14761e313df3cae65b1fbd,"Dân Vũ_Hán nhổ nước_bọt lên người đi đường Có nhiều người bị nhiễm virus Corona muốn lây bệnh chung cho người khác , bằng cách nhổ nước_bọt bôi lên cánh cửa xe , mà ra phố bôi khắp , vào siêu_thị nhổ nước_bọt bôi vô các hộp đóng_chai nữa , để lây_nhiễm virus cho mọi người .",3000,2000,5200.0,1,1975,1
1638,1639,6461e748ae05e95f53c2b07fc77cb647,"Trong thực_tế , có rất nhiều trường_hợp sau khi xảy ra vụ_việc , phía bị hại có đơn đề_nghị không truy_cứu trách_nhiệm hình_sự người phạm_tội , nhưng cơ_quan điều_tra vẫn khởi_tố vụ án , khởi_tố bị_can . Vì sao ? # bịhại # miễntruycứu # khởitố",152,5,11.0,0,280,65
3264,3265,e695fccedc9f52040d292276a8304be8,"TRỰC_TIẾP : Chọn ngành đại_học , yếu_tố nào quan_trọng nhất ? Học ngành nào vừa phù_hợp với năng_lực của bản_thân , vừa đáp_ứng nhu_cầu nhân_lực của xã_hội là mục_đích để thí_sinh lựa_chọn ngành_nghề . Vậy chọn ngành học thì yếu_tố nào quan_trọng nhất ? Vào lúc 14 giờ 30 ngày 11.3 , Báo Thanh_Niên phối_hợp cùng Trường ĐH Công_nghệ < URL > , Trường ĐH Kinh tế-Tài chính < URL > tổ_chức buổi thứ 8 trong chương_trình tư_vấn trực_tuyến truyền_hình với chủ_đề “ Chọn ngành đại_học : Yếu_tố nào quan_trọng nhất ? ” . Chương_trình do Chương_trình được phát_sóng các kênh : < URL > , < URL > và YouTube Báo Thanh_Niên . # TưVấnMùaThi # ChọnNgànhHọcChoTươngLai # ThiTHPTQuốcGia # TuyểnSinh 2020 # Tiếpsứcmùathi # Truyềnhìnhtrựctuyến",121,50,44.0,0,3351,1
